,names,forms,pulici_ryha,lekova_forma,barva,tvar,konvexita,velikost,imprint
112,"Gopten 0,5 mg tvrdé tobolky
Gopten 2 mg tvrdé tobolky","Tvrdá tobolka
Popis přípravku:
Gopten 0,5 mg: tvrdé, želatinové tobolky se spodní částí červenou, vrchní částí světle žlutou, obsahující
bílý prášek.
Gopten 2 mg: tvrdé, želatinové tobolky se spodní i vrchní částí červenou, obsahující bílý prášek.",False,tvrdá tobolka,"červenou, žlutou, bílý, červenou, bílý",tobolka,tobolka,,
113,"ATORSTAD 10 mg potahované tablety
ATORSTAD 20 mg potahované tablety","Potahovaná tableta
Bílá až téměř bílá, kulatá, bikonvexní potahovaná tableta o průměru 6 mm.
Bílá až téměř bílá, kulatá, bikonvexní potahovaná tableta o průměru 8 mm.",False,potahovaná tableta,"bílá, bílá, bílá, bílá",kulatá,bikonvexní,"['6 mm', '8 mm']",
114,Forxiga 5 mg potahované tablety,"Potahovaná tableta (tableta).
Žluté bikonvexní kulaté potahované tablety o průměru 0,7 cm s vyraženým “5” na jedné straně a
“1427” na druhé straně.",False,potahovaná tableta (tableta),žluté,kulaté,bikonvexní,,
115,"Feroger 202,8 mg/0,8 mg/100 mg tvrdé tobolky","Tvrdá tobolka
Tvrdé tobolky růžové barvy, obsahující uvnitř 4 červenohnědé minitablety, 1 žlutou minitabletu a 3 bílé
minitablety. Velikost tobolky je “0” (rozměry 21,7 x 7,5 mm).",False,tvrdá tobolka,"růžové, červenohnědé, žlutou, bílé",tobolka,tobolka,"['7,5 mm']",
116,Pantoprazol +pharma 40 mg enterosolventní tablety,"Enterosolventní tablety
Bikonvexní tmavě žluté enterosolventní tablety eliptického tvaru.",False,enterosolventní tablety,žluté,eliptického,bikonvexní,,
117,"Hirudoid forte 445 mg/100 g gel
Hirudoid forte 445 mg/100 g krém","Hirudoid forte gel: gel
Průsvitný bezbarvý homogenní gel.
Hirudoid forte krém: krém
Bílý homogenní krém.",False,hirudoid forte gel: gel,"bezbarvý, bílý",gel:,gel:,,
118,Naglazyme 1 mg/ml koncentrát pro infuzní roztok,"Koncentrát pro infuzní roztok.
Čirý až mírně opalizující a bezbarvý až světle žlutý roztok.",False,koncentrát pro infuzní roztok,"bezbarvý, žlutý",roztok.,roztok.,,
119,Rennie spearmint bez cukru 680 mg/80mg žvýkací tablety,"Čtvercové žvýkací tablety bílé až krémově bílé se slabými krémovými skvrnami, s konkávním
povrchem a se zkosenými hranami, s vůní máty, na obou stranách vyraženo „RENNIE“.",False,"čtvercové žvýkací tablety bílé až krémově bílé se slabými krémovými skvrnami, s konkávním","bílé, krémově, bílé, krémovými",krémově,,,„RENNIE“
120,"Kaliumchlorid/natriumchlorid 0,15% (0,3%) + 0,9% B. Braun infuzní roztok","Infuzní roztok
Čirý, bezbarvý vodný roztok
Kaliumchlorid/Kaliumchlorid/
natriumchloridnatriumchlorid
0,15% + 0,9%0,3%+ 0,9%
B. BraunB. Braun
Teoretická osmolarita (přibl.) 340 mosmol/l380 mosmol/l
pH (přibl.)4,5–7,0",False,infuzní roztok,bezbarvý,roztok,roztok,,
121,"Bigital 5 mg/5 mg tablety
Bigital 5 mg/10 mg tablety
Bigital 10 mg/5 mg tablety
Bigital 10 mg/10 mg tablety","Tableta.
Bigital 5 mg/5 mg tablety: bílé nebo téměř bílé, bez zápachu, podlouhlé, mírně konvexní tablety 9,5 mm
dlouhé, s půlicí rýhou na jedné straně a vyraženým MS na druhé straně.
Půlicí rýha má pouze usnadnit dělení tablety pro snazší polykání, nikoliv její rozdělení na stejné dávky.
Bigital 5 mg/10 mg tablety: bílé nebo téměř bílé, bez zápachu, kulaté, ploché tablety o průměru 10 mm
se zkosenými hranami, s půlicí rýhou na jedné straně a vyraženým MS na druhé straně.
Půlicí rýha má pouze usnadnit dělení tablety pro snazší polykání, nikoliv její rozdělení na stejné dávky.
Bigital 10 mg/5 mg tablety: bílé nebo téměř bílé, bez zápachu, oválné, mírně konvexní tablety 13 mm
dlouhé, s půlicí rýhou na jedné straně a vyraženým MS na druhé straně.
Půlicí rýha má pouze usnadnit dělení tablety pro snazší polykání, nikoliv její rozdělení na stejné dávky.
Bigital 10 mg/10 mg tablety: bílé nebo téměř bílé, bez zápachu, kulaté, mírně konvexní tablety o
průměru 10 mm s půlicí rýhou na jedné straně a vyraženým MS na druhé straně.
Půlicí rýha má pouze usnadnit dělení tablety pro snazší polykání, nikoliv její rozdělení na stejné dávky.",True,tableta,"bílé, bílé, bílé, bílé, bílé, bílé, bílé, bílé",podlouhlé,konvexní,"['9,5 mm', '10 mm', '13 mm', '10 mm']",
122,"AGEN 5 mg tablety
AGEN 10 mg tablety","Tableta
AGEN 5 mg: bílé až téměř bílé oválné tablety na jedné straně s půlící rýhou a vyraženými symboly
„A“ a „5“ umístěnými nalevo a napravo od půlící rýhy.
Tabletu lze rozdělit na stejné dávky.
AGEN 10 mg: bílé až téměř bílé oválné tablety na jedné straně s půlící rýhou a vyraženými symboly
„A“ a „10“ umístěnými nalevo a napravo od půlící rýhy.
Tabletu lze rozdělit na stejné dávky.",True,tableta,"bílé, bílé, bílé, bílé",oválné,,,"„A“, „5“, „A“, „10“"
123,"Cilkanol
300 mg, tvrdé tobolky","Tvrdé tobolky.
Popis přípravku: žluto-bílé tvrdé želatinové tobolky obsahující žlutou náplň.",False,tvrdé tobolky,"žluto-, bílé, žlutou",tobolky.,tobolky.,,
124,"Maltofer tablety
100 mg","Žvýkací tablety
Popis přípravku:
Hnědo-bíle skvrnité tablety",False,žvýkací tablety,"hnědo-, bíle",,,,
125,"Laktulosa Sandoz 670 mg/ml
 perorální roztok","Perorální roztok
 Čirý, bezbarvý až světle hnědo-žlutý viskózní roztok.",False,perorální roztok,"bezbarvý, hnědo-, žlutý",roztok,roztok,,
126,"Eucreas 50 mg/850 mg potahované tablety
Eucreas 50 mg/1000 mg potahované tablety","Potahovaná tableta
Eucreas 50 mg/850 mg potahované tablety
Žlutá, oválná potahovaná tableta se zkosenými okraji, na jedné straně s vyznačením „NVR” a „SEH”
na straně druhé.
Eucreas 50 mg/1000 mg potahované tablety
Tmavě žlutá, oválná potahovaná tableta se zkosenými okraji, na jedné straně s vyznačeným „NVR”
a „FLO” na straně druhé.",False,potahovaná tableta,"žlutá, žlutá",oválná,,,
127,"Tachyben i.v. 25 mg injekční roztok
Tachyben i.v. 50 mg injekční roztok
Tachyben i.v. 100 mg koncentrát pro infuzní roztok","Tachyben i.v. 25 mg injekční roztok
Injekční roztok. Po naředění může být použit jako infuzní roztok.
Tachyben i.v. 50 mg injekční roztok
Injekční roztok. Po naředění může být použit jako infuzní roztok.
Tachyben i.v. 100 mg koncentrát pro infuzní roztok
Koncentrát pro infuzní roztok
Popis přípravku: čirý, bezbarvý roztok bez viditelných částic. pH 5,6 – 6,6",False,tachyben iv 25 mg injekční roztok,bezbarvý,roztok,roztok,,
128,"IMODIUM
tvrdé tobolky","Tvrdá tobolka
Tvrdé želatinové tobolky neprůsvitné, vrchní část tmavě zelené barvy, spodní část světle zelené
barvy. Obsah tobolky je bílý až slabě žlutavý prášek.",False,tvrdá tobolka,"zelené, zelené, bílý, žlutavý",tobolka,tobolka,,
129,SMECTA 3 g prášek pro perorální suspenzi,"prášek pro perorální suspenzi
 Popis: šedobílý až okrový jemný prášek s vůní vanilky",False,prášek pro perorální suspenzi,bílý,,,,
130,"Zoletorv 10 mg/10 mg potahované tablety
Zoletorv 10 mg/20 mg potahované tablety
Zoletorv 10 mg/40 mg potahované tablety","Potahovaná tableta
Tableta 10 mg/10 mg: bikonvexní, bílá až téměř bílá, potahovaná tableta ve tvaru tobolky, velikosti
12,74 mm x 5,10 mm, na jedné straně s vyraženým „257“
Tableta 10 mg/20 mg: bikonvexní, bílá až téměř bílá, potahovaná tableta ve tvaru tobolky, velikosti
14,48 mm x 5,79 mm, na jedné straně s vyraženým „333“
Tableta 10 mg/40 mg: bikonvexní, bílá až téměř bílá, potahovaná tableta ve tvaru tobolky, velikosti
16,38 mm x 6,27 mm, na jedné straně s vyraženým „337“",False,potahovaná tableta,"bílá, bílá, bílá, bílá, bílá, bílá",tobolky,bikonvexní,"['12,74 mm', '5,10 mm', '14,48 mm', '5,79 mm', '16,38 mm', '6,27 mm']","„257“, „333“, „337“"
131,"ACCUPRO 5 mg potahované tablety
ACCUPRO 10 mg potahované tablety
ACCUPRO 20 mg potahované tablety","Potahovaná tableta.
5 mg – bílé, oválné, bikonvexní, potahované tablety s půlicí rýhou na obou stranách a vyraženým kódem
„5“ na obou stranách v opačném směru.
10 mg – bílé, trojúhelníkovité, bikonvexní, potahované tablety s vyraženým kódem „10“ na jedné straně
a půlicí rýhou na obou stranách.
20 mg – bílé, kulaté, bikonvexní potahované tablety s půlicí rýhou na jedné straně a vyraženým kódem
„20“ na druhé straně.
Tabletu lze rozdělit na stejné dávky.",True,potahovaná tableta,"bílé, bílé, bílé",oválné,bikonvexní,,"„5“, „10“, „20“"
132,Grateva 2 mg potahované tablety,"Potahované tablety
Vzhled přípravku:
Tablety 2 mg: trojúhelníkovité, bílé, bikonvexní, potahované tablety s vyraženým nápisem „G2“na
jedné straně.",False,potahované tablety,bílé,,bikonvexní,,„G2“
133,"Aloxi 250 mikrogramů, injekční roztok.","Injekční roztok.
Čirý, bezbarvý roztok.",False,injekční roztok,bezbarvý,roztok.,roztok.,,
134,"Orcal Neo 5 mg tablety
Orcal Neo 10 mg tablety","Tableta
Orcal Neo 5 mg
Bílá nebo téměř bílá, podlouhlá tableta se zkosenými hranami, s půlicí rýhou na jedné straně a označená „5“
na druhé straně.
Tabletu lze rozdělit na stejné dávky.
Orcal Neo 10 mg
Bílá nebo téměř bílá, podlouhlá tableta se zkosenými hranami, s půlicí rýhou na jedné straně a označená
„10“ na druhé straně.
Tabletu lze rozdělit na stejné dávky.",True,tableta,"bílá, bílá, bílá, bílá",podlouhlá,,,"„5“, „10“"
135,"Nitromint 2,6 mg tablety s řízeným uvolňováním","Tableta s řízeným uvolňováním
Vzhled: bílé nebo mírně nažloutlé tablety, bez zápachu, mírně nasládlé, kulaté, ploché, se zkosenými
hranami a vyraženým “2.6” na jedné straně.",False,tableta s řízeným uvolňováním,"bílé, nažloutlé",kulaté,,,
136,"Vidonorm 4 mg/5 mg tablety
Vidonorm 8 mg/5 mg tablety
Vidonorm 4 mg/10 mg tablety
Vidonorm 8 mg/10 mg tablety","Tableta.
Vidonorm 4 mg/5 mg tablety: bílé až téměř bílé, kulaté, ploché tablety o průměru 8 mm. Na jedné
straně s vyraženým označením “CH3”, druhá strana bez označení.
Vidonorm 8 mg/5 mg tablety: bílé až téměř bílé, kulaté, ploché tablety o průměru 8 mm. Na jedné
straně s vyraženým označením “CH4”, druhá strana bez označení.
Vidonorm 4 mg/10 mg tablety: bílé až téměř bílé, kulaté, ploché tablety o průměru 11 mm. Na jedné
straně s vyraženým označením “CH5”, druhá strana bez označení.
Vidonorm 8 mg/10 mg tablety: bílé až téměř bílé, kulaté, ploché tablety o průměru 11 mm. Na jedné
straně s vyraženým označením “CH6”, druhá strana bez označení.",False,tableta,"bílé, bílé, bílé, bílé, bílé, bílé, bílé, bílé",kulaté,,"['8 mm', '8 mm', '11 mm', '11 mm']",
137,PANCREOLAN FORTE 6000 enterosolventní tablety,"Enterosolventní tablety
Popis přípravku: žluté až nazelenalé potahované tablety čočkovitého tvaru",False,enterosolventní tablety,"žluté, zelenalé",,,,
138,"FAMOSAN 20 mg potahované tablety
FAMOSAN 40 mg potahované tablety","Potahovaná tableta.
Famosan 20 mg: hladké, hnědorůžové, kulaté, bikonvexní potahované tablety o průměru 7 mm.
Famosan 40 mg: hladké, hnědožluté, kulaté, bikonvexní, potahované tablety o průměru 9 mm.",False,potahovaná tableta,"hnědorůžové, hnědožluté",kulaté,bikonvexní,"['7 mm', '9 mm']",
139,"Solutio Thomas cum procaino Ardeapharma
Koncentrát pro infuzní roztok","Koncentrát pro infuzní roztok
Popis přípravku: čirý, nejvýše slabě nažloutlý roztok",False,koncentrát pro infuzní roztok,nažloutlý,roztok,roztok,,
140,Lescol XL 80 mg tablety s prodlouženým uvolňováním,"Tableta s prodlouženým uvolňováním
Žluté, kulaté lehce bikonvexní potahované tablety se zkosenými hranami, o průměru přibližně 10 mm,
s vyraženým ""LE"" na jedné straně a ""NVR"" na straně druhé.",False,tableta s prodlouženým uvolňováním,žluté,kulaté,bikonvexní,['10 mm'],"""LE"", ""NVR"""
141,"Hirudoid 300 mg/100 g gel
Hirudoid 300 mg/100 g krém","Hirudoid gel: gel
Průsvitný bezbarvý homogenní gel.
Hirudoid krém: krém
Bílý homogenní krém.",False,hirudoid gel: gel,"bezbarvý, bílý",gel:,gel:,,
142,"Tezeo HCT 40 mg/12,5 mg tablety
Tezeo HCT 80 mg/12,5 mg tablety
Tezeo HCT 80 mg/25 mg tablety","Tableta.
Tezeo HCT 40 mg/12,5 mg: Téměř bílé až nažloutlé podlouhlé bikonvexní tablety, s vyraženým ""41""
na jedné straně, 12 mm dlouhé a 6 mm široké.
Tezeo HCT 80 mg/12,5 mg: Téměř bílé až nažloutlé podlouhlé bikonvexní tablety, s vyraženým ""81""
na jedné straně, 16,5 mm dlouhé a 8,3 mm široké.
Tezeo HCT 80 mg/25 mg: Téměř bílé až nažloutlé podlouhlé bikonvexní tablety, s vyraženým ""82"" na
jedné straně, 16 mm dlouhé a 8 mm široké.",False,tableta,"bílé, nažloutlé, bílé, nažloutlé, bílé, nažloutlé",podlouhlé,bikonvexní,"['12 mm', '6 mm', '16,5 mm', '8,3 mm', '16 mm', '8 mm']","""41"", ""81"", ""82"""
143,GLUKÓZA BAXTER 20% infuzní roztok,"Infuzní roztok
Čirý, bezbarvý až slabě nažloutlý roztok.
Celková osmolarita: 1110 mosm/l (přibližně)
pH: ± 4,4",False,infuzní roztok,"bezbarvý, nažloutlý",roztok,roztok,,
144,RILMENIDIN TEVA 1 MG TABLETY,"Tableta.
Bílé kulaté bikonvexní tablety.",False,tableta,bílé,kulaté,bikonvexní,,
145,OXANTIL 80 mg/ml + 20 mg/ml injekční roztok,"Injekční roztok.
Popis přípravku: čirý, bezbarvý roztok.",False,injekční roztok,bezbarvý,roztok.,roztok.,,
146,"LODOZ 2,5 mg/6,25 mg potahované tablety
LODOZ 5 mg/6,25 mg potahované tablety
LODOZ 10 mg/6,25 mg potahované tablety","Lodoz 2,5 mg/6,25 mg
Potahovaná tableta.
Žlutá, kulatá, bikonvexní potahovaná tableta na jedné straně znak srdce, na druhé straně „2.5“. Tloušťka
tablet 3,1 mm, průměr tablet 6,5 mm.
Lodoz 5 mg/6,25 mg
Potahovaná tableta.
Růžová, kulatá, bikonvexní potahovaná tableta na jedné straně znak srdce, na druhé straně „5“. Tloušťka
tablet 2,8 mm, průměr tablet 7,2 mm.
Lodoz 10 mg/6,25 mg
Potahovaná tableta.
Bílá, kulatá, bikonvexní potahovaná tableta na jedné straně znak srdce, na druhé straně „10“. Tloušťka tablet
2,8 mm, průměr tablet 7,2 mm.",False,"lodoz 2,5 mg/6,25 mg","žlutá, růžová, bílá",kulatá,bikonvexní,"['3,1 mm', '6,5 mm', '2,8 mm', '7,2 mm', '2,8 mm', '7,2 mm']","„2.5“, „5“, „10“"
147,"BISOPROLOL-RATIOPHARM 5 mg, tablety
BISOPROLOL-RATIOPHARM 10 mg, tablety","Tableta.
Popis přípravku
Bisoprolol-ratiopharm 5 mg
Světle žluté, kropenaté, bikonvexní tablety s vyraženým číslem „5“ a s půlicí rýhou na jedné straně a
hladké na druhé straně.
Bisoprolol-ratiopharm 10 mg
Béžové, kropenaté, bikonvexní tablety s vyraženým číslem „10“ a s půlicí rýhou na jedné straně a
hladké na druhé straně.
Tabletu lze rozdělit na stejné dávky.",True,tableta,"žluté, béžové",,bikonvexní,,"„5“, „10“"
148,"Gutron 2,5 mg tablety
Gutron 5 mg tablety","Gutron 2,5 mg: Tableta. Ploché kulaté bílé tablety se zkosenými hranami, s půlicí rýhou a vyraženým
označením „GU“, „2,5“ na jedné straně.
Gutron 5 mg: Tableta. Ploché kulaté oranžové tablety se zkosenými hranami, s půlicí rýhou a vyraženým
označením „GU“, „5“ na jedné straně.
Tablety lze rozdělit na stejné dávky.",True,"gutron 2,5 mg: tableta ploché kulaté bílé tablety se zkosenými hranami, s půlicí rýhou a vyraženým","bílé, oranžové",ploché,,,"„GU“, „2,5“, „GU“, „5“"
149,"Kinedryl, 25 mg/30 mg tablety","Tableta.
Bílé kulaté ploché tablety se zkosenými hranami opatřené na jedné straně čtvrtícím znakem.
Tabletu lze rozdělit na dvě nebo čtyři stejné dávky.",False,tableta,bílé,kulaté,,,
150,"Rosuvastatin Accord 5 mg potahované tablety
Rosuvastatin Accord 10 mg potahované tablety
Rosuvastatin Accord 20 mg potahované tablety
Rosuvastatin Accord 40 mg potahované tablety","Potahovaná tableta.
5 mg: žlutá, kulatá, o průměru 7 mm, bikonvexní, potahovaná tableta s vyraženým „5"" na jedné straně
a „R“ na druhé straně.
10 mg: růžová, kulatá, o průměru 7 mm, bikonvexní, potahovaná tableta s vyraženým „10"" na jedné
straně a „R“ na druhé straně.
20 mg: růžová, kulatá, o průměru 9 mm, bikonvexní, potahovaná tableta s vyraženým „20"" na jedné
straně a „R“ na druhé straně.
40 mg: růžová, oválná, přibližně 11,5 mm dlouhá a 6,9 mm široká, bikonvexní, potahovaná tableta s
vyraženým „40"" na jedné straně a „R“ na druhé straně.",False,potahovaná tableta,"žlutá, růžová, růžová, růžová",kulatá,bikonvexní,"['7 mm', '7 mm', '9 mm', '11,5 mm', '6,9 mm']","„5"" na jedné straně
a „R“, „10"" na jedné
straně a „R“, „20"" na jedné
straně a „R“, „40"" na jedné straně a „R“"
151,"Tresiba 100 jednotek/ml injekční roztok v předplněném peru
Tresiba 200 jednotek/ml injekční roztok v předplněném peru
Tresiba 100 jednotek/ml injekční roztok v zásobní vložce","Tresiba 100 jednotek/ml injekční roztok v předplněném peru
Injekční roztok (FlexTouch)
Tresiba 200 jednotek/ml injekční roztok v předplněném peru
Injekční roztok (FlexTouch)
Tresiba 100 jednotek/ml injekční roztok v zásobní vložce
Injekční roztok (Penfill)
Čirý bezbarvý roztok s neutrálním pH.",False,tresiba 100 jednotek/ml injekční roztok v předplněném peru,bezbarvý,roztok,roztok,,
152,"Tachyben i.v. 25 mg injekční roztok
Tachyben i.v. 50 mg injekční roztok
Tachyben i.v. 100 mg koncentrát pro infuzní roztok","Tachyben i.v. 25 mg injekční roztok
Injekční roztok. Po naředění může být použit jako infuzní roztok.
Tachyben i.v. 50 mg injekční roztok
Injekční roztok. Po naředění může být použit jako infuzní roztok.
Tachyben i.v. 100 mg koncentrát pro infuzní roztok
Koncentrát pro infuzní roztok
Popis přípravku: čirý, bezbarvý roztok bez viditelných částic. pH 5,6 – 6,6",False,tachyben iv 25 mg injekční roztok,bezbarvý,roztok,roztok,,
153,"Valtricom 5 mg/160 mg/12,5 mg potahované tablety
Valtricom 5 mg/160 mg/25 mg potahované tablety
Valtricom 10 mg/160 mg/12,5 mg potahované tablety
Valtricom 10 mg/160 mg/25 mg potahované tablety
Valtricom 10 mg/320 mg/25 mg potahované tablety","Potahovaná tableta (tableta)
5 mg/160 mg/12,5 mg:
Bílé až téměř bílé, oválné, bikonvexní potahované tablety s vyraženým znakem K1 na jedné straně
tablety, rozměry přibližně 13 x 8 mm.
5 mg/160 mg/25 mg:
Světle žluté, oválné, bikonvexní potahované tablety s vyraženým znakem K3 na jedné straně tablety,
rozměry přibližně 13 x 8 mm.
10 mg/160 mg/12,5 mg:
Růžové, oválné, bikonvexní potahované tablety s vyraženým znakem K2 na jedné straně tablety,
rozměry přibližně 13 x 8 mm.
10 mg/160 mg/25 mg:
Hnědo-žluté, oválné, bikonvexní potahované tablety s vyraženým znakem K4 na jedné straně tablety,
rozměry přibližně 13 x 8 mm.
10 mg/320 mg/25 mg:
Hnědo-červené, oválné, bikonvexní potahované tablety, rozměry přibližně 18 x 9 mm.",False,potahovaná tableta (tableta),"bílé, bílé, žluté, růžové, hnědo-, žluté, hnědo-, červené",oválné,bikonvexní,"['8 mm', '8 mm', '8 mm', '8 mm', '9 mm']",
154,Multi-Sanostol sirup,"Sirup
Popis přípravku: žlutá, lehce zakalená, viskózní tekutina",False,sirup,žlutá,,,,
155,"Flolan 1,5 mg prášek a rozpouštědlo pro infuzní roztok","Prášek a rozpouštědlo pro infuzní roztok.
Prášek pro infuzní roztok:
– Bílý až téměř bílý lyofilizovaný prášek
Rozpouštědlo pro parenterální použití:
– Čirý bezbarvý roztok (pH 11,7 – 12,3)",False,prášek a rozpouštědlo pro infuzní roztok,"bílý, bílý, bezbarvý",roztok.,roztok.,,
156,"Vimizim 1 mg/ml, koncentrát pro infuzní roztok","Koncentrát pro infuzní roztok (sterilní koncentrát).
Čirý až mírně opalescentni a bezbarvý až světle žlutý roztok.",False,koncentrát pro infuzní roztok (sterilní koncentrát),"bezbarvý, žlutý",roztok,roztok,,
157,Pangrol 20000 IU enterosolventní tablety,"Enterosolventní tablety.
Bílé až světle šedé, mírně bikonvexní potahované tablety s hladkým povrchem.",False,enterosolventní tablety,bílé,,bikonvexní,,
158,"Kybernin P 500 IU prášek a rozpouštědlo pro injekční/infuzní roztok
Kybernin P 1000 IU prášek a rozpouštědlo pro injekční/infuzní roztok","Prášek a rozpouštědlo pro injekční/infuzní roztok.
Popis přípravku:
Prášek: bílý, jemný prášek.
Rozpouštědlo: čirý, bezbarvý roztok",False,prášek a rozpouštědlo pro injekční/infuzní roztok,"bílý, bezbarvý",roztok.,roztok.,,
159,"Moxogamma 0,2 mg
Moxogamma 0,3 mg
Moxogamma 0,4 mg
potahované tablety","Potahovaná tableta.
Popis přípravku:
Všechny tablety jsou kulaté, o průměru přibližně 6 mm
Tableta 0,2 mg je světle růžová, tableta 0,3 mg je růžová tableta 0,4 mg je tmavě růžová",False,potahovaná tableta,"růžová, růžová",kulaté,,['6 mm'],
160,"Mixtard 30 40 mezinárodních jednotek/ml injekční suspenze v injekční lahvičce.
Mixtard 30 100 mezinárodních jednotek/ml injekční suspenze v injekční lahvičce.
Mixtard 30 Penfill 100 mezinárodních jednotek/ml injekční suspenze v zásobní vložce.
Mixtard 30 InnoLet 100 mezinárodních jednotek/ml injekční suspenze v předplněném peru.
Mixtard 30 FlexPen 100 mezinárodních jednotek/ml injekční suspenze v předplněném peru.","Injekční suspenze.
Suspenze je kalná, bílá a vodná.",False,injekční suspenze,bílá,,,,
161,"Valsacombi 80 mg/12,5 mg potahované tablety
Valsacombi 160 mg/12,5 mg potahované tablety
Valsacombi 160 mg/25 mg potahované tablety
Valsacombi 320 mg/12,5 mg potahované tablety
Valsacombi 320 mg/25 mg potahované tablety","Potahované tablety.
80 mg/12,5 mg: Růžové, oválné, bikonvexní potahované tablety.
160 mg/12,5 mg: Červenohnědé, oválné, bikonvexní potahované tablety.
160 mg/25 mg: Světle hnědé, oválné, bikonvexní potahované tablety.
320 mg/12,5 mg: Růžové, oválné, bikonvexní potahované tablety.
320 mg/25 mg: Světle žluté, oválné, bikonvexní potahované tablety s půlící rýhou na jedné straně.
Tabletu lze rozdělit na stejné dávky.",True,potahované tablety,"růžové, červenohnědé, hnědé, růžové, žluté",oválné,bikonvexní,,
162,"Corotrop
 10 mg/10 ml
 injekční roztok","Injekční roztok.
 Popis přípravku: čirá, bezbarvá až slabě nažloutlá kapalina prostá viditelných částic.",False,injekční roztok,"bezbarvá, nažloutlá",roztok.,roztok.,,
163,"VELETRI 0,5 mg prášek pro infuzní roztok
VELETRI 1,5 mg prášek pro infuzní roztok","Prášek pro infuzní roztok
Bílý až téměř bílý prášek
Údaje o pH naředěného roztoku viz bod 4.4.",False,prášek pro infuzní roztok,"bílý, bílý",roztok,roztok,,
164,"APO-AMLO 5 mg tablety
APO-AMLO 10 mg tablety","Tablety.
APO-AMLO 5: Bílé až téměř bílé, kulaté tablety bez půlící rýhy s potiskem „APO“ na jedné straně
a „AML“ nad „5“ na druhé straně.
APO-AMLO 10: Bílé až téměř bílé, kulaté tablety bez půlící rýhy s potiskem „APO“ na jedné straně
a „AML“ nad „10“ na druhé straně.",True,tablety,"bílé, bílé, bílé, bílé",kulaté,,,"„APO“, „AML“, „5“, „APO“, „AML“, „10“"
165,"Tonanda 2 mg/5 mg/0,625 mg tablety
Tonanda 4 mg/5 mg/1,25 mg tablety
Tonanda 4 mg/10 mg/1,25 mg tablety
Tonanda 8 mg/5 mg/2,5 mg tablety
Tonanda 8 mg/10 mg/2,5 mg tablety","Tableta.
Tonanda 2 mg/5 mg/0,625 mg tablety: Bílé až téměř bílé, oválné, bikonvexní tablety s půlicí rýhou na
jedné straně o délce 9 mm. Půlicí rýha má pouze usnadnit dělení tablety pro snazší polykání, nikoliv
její rozdělení na stejné dávky.
Tonanda 4 mg/5 mg/1,25 mg tablety: Bílé až téměř bílé, kulaté, mírně bikonvexní tablety se
zkosenými hranami o průměru 7 mm.
Tonanda 4 mg/10 mg/1,25 mg tablety: Bílé až téměř bílé, oválné, bikonvexní tablety s půlicí rýhou na
jedné straně o délce 12 mm. Tabletu lze rozdělit na stejné dávky.
Tonanda 8 mg/5 mg/2,5 mg tablety: Bílé až téměř bílé, kulaté, bikonvexní tablety se zkosenými
hranami o průměru 9 mm.
Tonanda 8 mg/10 mg/2,5 mg tablety: Bílé až téměř bílé, kulaté, bikonvexní tablety s půlicí rýhou na
jedné straně se zkosenými hranami o průměru 9 mm. Tabletu lze rozdělit na stejné dávky.",True,tableta,"bílé, bílé, bílé, bílé, bílé, bílé, bílé, bílé, bílé, bílé",oválné,bikonvexní,"['9 mm', '7 mm', '12 mm', '9 mm', '9 mm']",
166,Plasmalyte roztok infuzní roztok,"Infuzní roztok.
Čirý roztok bez viditelných částic.
Osmolarita: 295 mOsm/l (přibližně)
pH: přibližně 7,4 (6,5 až 8,0)",False,infuzní roztok,,roztok.,roztok.,,
167,Normosang 25 mg/ml koncentrát pro infuzní roztok,"Koncentrát pro infuzní roztok.
Normosang je tmavě zbarvený koncentrát pro infuzní roztok.",False,koncentrát pro infuzní roztok,,roztok.,roztok.,,
168,"Caramlo 8 mg/5 mg tablety
Caramlo 16 mg/10 mg tablety","Tableta
Caramlo 8 mg/5 mg: Bílé až téměř bílé, kulaté bikonvexní tablety s průměrem cca 6 mm, s vyraženým
číslem „8“ na jedné straně a číslem „5“ na druhé straně.
Caramlo 16 mg/10 mg: Bílé až téměř bílé, kulaté bikonvexní tablety s průměrem cca 8 mm, s půlící rýhou na
obou stranách, s vyraženým číslem „16 16“ na jedné straně a číslem „10 10“ na druhé straně. Tabletu lze
rozdělit na stejné dávky.",True,tableta,"bílé, bílé, bílé, bílé",kulaté,bikonvexní,"['6 mm', '8 mm']","„8“, „5“, „16 16“, „10 10“"
169,"Roxilip 10 mg potahované tablety
Roxilip 20 mg potahované tablety","Potahovaná tableta.
Roxilip 10 mg:
Nažloutlé kulaté bikonvexní potahované tablety, s vyraženým ""10"" na jedné straně a ""^15"" na druhé
straně.
Roxilip 20 mg:
Nažloutlé kulaté bikonvexní potahované tablety, s vyraženým ""20"" na jedné straně a ""^15"" na druhé
straně.",False,potahovaná tableta,"nažloutlé, nažloutlé",kulaté,bikonvexní,,"""10"", ""^15"", ""20"", ""^15"""
170,"Kinito 50 mg, potahované tablety","Potahovaná tableta
Bílé až téměř bílé kulaté bikonvexní potahované tablety s půlicí rýhou na jedné straně.
Tabletu lze rozdělit na stejné dávky.",True,potahovaná tableta,"bílé, bílé",kulaté,bikonvexní,,
